,,,,PURCHASE ORDER,P.O. No.,256634,,
,,,V,IRGINIA I,"MPORTS, L",TD.,Date of Purchase Order,10/12/2021
,,,,7550,ACCOTINK PARK ROAD,,,
BASIC IMPORT VA-1-316,,,,"SPRINGFIELD, VA 22150",,,,
BASIC WHOLESALE VA-PP-3610,,,,,Ship Via,Cornerstone,,
VIRGINIA WINE IMPORT 080887,,,,TEL (703) 823-1230,,,,
VIRGINIA BEER IMPORT 080885,,,,FAX (703) 823-1904,,,,
VIRGINIA BEER WHOLESALE 080884,,,,,,,,
VIRGINIA WINE WHOLESALE 080886,Terms,,,,,,,
,,,,,Page 1,,,
NO.,TOTAL,SIZE,ABC,,,CASE,,
,,IN,,BRAND AND TYPE,LITERS,,TOTAL,
CASES,BOTTLES,LITERS,CODE,VINT,,PRICE,,
56,672,750,114711,FitVine Pinot Grigio,504,85.2,"4,771.20",
,,ML,,H.21.1,105005,8.53086E+11,19,
28,336,750,114712,FitVine Pinot Noir,252,103.2,"2,889.60",
,,ML,,K.1.6,105004,8.53086E+11,18,
56,672,750,104434,FitVine Sauvignon Blanc,504,85.2,"4,771.20",
,,ML,,F.24.1,104581,8.53086E+11,19,
140,,,,WEIGHT :,"4,872.00",Total,"1,260.00","12,432.00"
