,customer.descriptive_name,count
0,AGI - Corporate (CAD),38
1,ASCO,12
2,Abbott Cardiovascular,15
3,Abbott EP,12
4,Algoma University,39
5,Alluvion Health,12
6,Alpenrose Home Delivery,21
7,Axogen,12
8,Axogen | Rethink Pain,3
9,Barre3,9
10,Bayer - US,6
11,Bayer A.G.,18
12,CCRF Grants Account,12
13,Capital Region Medical Center,21
14,Cat GCI,15
15,Cat | GCI_AN_Educational_Paving_2021,9
16,Central Bancompany,33
17,Central Trust (new),42
18,Century College,12
19,Clever Insurance,16
20,Columbia CVB,6
21,Columbia College,12
22,Cottage Health - External,36
23,Decisive Farming,15
24,Explore Minnesota,21
25,FAH Farm At Hand - (CAD),12
26,GEHA Medical,15
27,GLG.COM,3
28,GLG_Booz Allen,5
29,Gateway Fiber,27
30,GreenPan,23
31,Heron-Zynrelef-SEM,18
32,IP1922711 Anoka-Ramsey Community College,3
33,IP1922993 Anoka Technical College,3
34,Imo's Pizza,12
35,Insurance,66
36,Insurance Bureau of Canada (IBC) | Commercial,6
37,Janssen-Crohns Quiz,6
38,Koch Ag,51
39,Lake Regional,8
40,M&R Fed - S Fl PCP,50
41,MFA Oil,42
42,MU Health Care,3
43,Marco,18
44,Meditek,11
45,MetroNet,39
46,Missouri Farm Bureau Insurance,3
47,Missouri Farm Bureau Insurance CO-OP,67
48,Murdoch's Ranch & Home Supply (client owned),24
49,Murdochs - TM,3
50,Nikon,75
51,PureView Health Center,4
52,REMAX Integra,24
53,REMAX SEM,36
54,ROBINSON Retail,69
55,ROBINSON Supply,12
56,RiverStone Health,2
57,Runnings,24
58,SEMCO,6
59,Sazerac House,9
60,Simplot Foods,9
61,Smith + Nephew | NAVIO,15
62,Smith Brothers,3
63,Socket,12
64,Softrax,3
65,Spok,10
66,SureTrack (USD),3
67,Sydenstricker,15
68,The Cargo Agency,2
69,Think Wood,27
70,True Media Canada,6
71,True Media US,3
72,Turkey Farmers of Canada (TFC),27
73,UHC - Individual,1547
74,University of Missouri - Mizzou Online,30
75,Upsher Smith_Tosymra_HCP,6
76,Upsher Smith_Tosymra_Patient,6
77,Upsher Smith_Zembrace_ HCP,6
78,Upsher Smith_Zembrace_Patient,6
79,YMCA - GTA,6
80,YYC Calgary Airport,9
