PO Date: 10/15/21,Requested Ship Date: 10/29/21,Due Date: 11/12/21,Page:,1,,,
Import Permit:,Basic Permit:,State License: WSL1608144,,,,,
Attn: MARK WARREN,,,,,,,
Ship to: REPUB NATL DIST CO DEERFLD BCH Ship from: FITVINE LLC,,,,,,,
441 ,S.W. 12TH. AVENUE,PO BOX 6474709,,,,,
"DEERFIELD BE, FL",33442,DETROIT,", MI",482674709,,,
954-421-9990,FAX# 954-418-1628,508-612-7142,,,,,
Instructions:,PO#: 153240,,,,,,
SHIP VIA WESTERN WINE/MODE TRANSPORTATION,===================,,,,,,
CONTACT MODE FOR P/U:MODE.BEVERAGES@MODETRANSPORTATION.CO,Our PO# must appear,,,,,,
DEERFIELD BCH CONFIRMATIONS:KRISTIN.CALLAHAN@RNDC-USA.COM,"on all invoices,",,,,,,
QUESTIONS REGARDING ORDER: ALMA.RAMIREZ@RNDC-USA.COM,shipping papers and,,,,,,
correspondence.,,,,,,,
===================,,,,,,,
FOB Point: ELITE WINE SHIPPING,"10724 HWY 160 RIVER RD, HOOD CA 95639",,,,,,
__________________________________________________________________________________,,,,,,,
Cases|Size |Pack|Item No.|Description,|,Upc |Unit Price,,,,,
__________________________________________________________________________________,,,,,,,
20|750M |,12|,37604|FITVINE CALIF CHARD,|85308600805|,84.00,,,
|,|,|,|NL NUPC,|,|,,
84|750M |,12|,37627|FITVINE CALIF CAB,|85308600800|,84.00,,,
|,|,|,|NL NUPC,|,|,,
70|750M |,12|,37639|FITVINE CALIF SAUV BL,|85308600803|,84.00,,,
|,|,|,|NL NUPC,|,|,,
112|750M |,12|,37644|FITVINE CALIF P GRIGIO,|85308600807|,84.00,,,
|,|,|,|NL NUPC,|,|,,
28|750M |,12|,37646|FITVINE CALIF P NOIR,|85308600802|,102.00,,,
|,|,|,|NL NUPC,|,|,,
7|750M |,12|,103919|FITVINE CALIF ROSE,|85308600809|,102.00,,,
|,|,|,|2019,|,|,,
28|750M |,12|,146457|FITVINE CALIF RED BLND,|85308600832|,84.00,,,
__________________________________________________________________________________,Total|,|,|,|,Weight|,|Total Price,
__________________________________________________________________________________,349|,|,|,|,13402|,|,29946.00
SPECIAL INSTRUCTIONS:,,,,,,,
Carrier must provide appropriate temperature protection at all times,,,,,,,
NOTES:,,,,,,,
Please confirm receipt and ship date of this PO and notify RNDC/NDC of,,,,,,,
"any changes regarding quantity, vintage, cost, UPC or alcohol percent.",,,,,,,
Supplier must have an active Non-Resident Seller's Permit and Label,,,,,,,
approvals for each product prior to shipping the order to the State of,,,,,,,
Florida.,,,,,,,
The provisions of 41 C.F.R. 60-250.5(a) pertaining to affirmative action,,,,,,,
obligations are incorporated herein by reference.,,,,,,,
