PO Date: 10/01/21,Requested Ship Date: 10/15/21,Due Date: 11/05/21,Page:,1,,,
Import Permit:,Basic Permit:,State License: WSL2700409,,,,,
Attn: MARK WARREN,,,,,,,
Ship to: REPUB NATL DIST CO PENSACOL,Ship from: FITVINE LLC,,,,,,
6256 ,NORTH 'W' STREET,PO BOX 6474709,,,,,
PENSACOLA,", FL",32505,DETROIT,", MI",482674709,,
850-476-1118,FAX# 904-757-7276,508-612-7142,,,,,
Instructions:,PO#:,39860,,,,,
SHIP VIA WESTERN WINE/MODE TRANSPORTATION,===================,,,,,,
CONTACT MODE FOR P/U:MODE.BEVERAGES@MODETRANSPORTATION.CO,Our PO# must appear,,,,,,
PENSACOLA CONFIRMATIONS TO: PENPOCONFIRMATIONS@RNDC-USA.COM,"on all invoices,",,,,,,
QUESTIONS CONTACT: ALMA.RAMIREZ@RNDC-USA.COM,shipping papers and,,,,,,
correspondence.,,,,,,,
===================,,,,,,,
FOB Point: ELITE WINE SHIPPING,"10724 HWY 160 RIVER RD, HOOD CA 95639",,,,,,
__________________________________________________________________________________,,,,,,,
Cases|Size |Pack|Item No.|Description,|,Upc |Unit Price,,,,,
__________________________________________________________________________________,,,,,,,
14|750M |,12|,37627|FITVINE CALIF CAB,|85308600800|,84.00,,,
|,|,|,|OL NUPC,|,|,,
14|750M |,12|,37644|FITVINE CALIF P GRIGIO,|85308600807|,84.00,,,
|,|,|,|OL NUPC,|,|,,
__________________________________________________________________________________,Total|,|,|,|,Weight|,|Total Price,
__________________________________________________________________________________,28|,|,|,|,1075|,|,2352.00
SPECIAL INSTRUCTIONS:,,,,,,,
Carrier must provide appropriate temperature protection at all times,,,,,,,
NOTES:,,,,,,,
Please confirm receipt and ship date of this PO and notify RNDC/NDC of,,,,,,,
"any changes regarding quantity, vintage, cost, UPC or alcohol percent.",,,,,,,
Supplier must have an active Non-Resident Seller's Permit and Label,,,,,,,
approvals for each product prior to shipping the order to the State of,,,,,,,
Florida.,,,,,,,
The provisions of 41 C.F.R. 60-250.5(a) pertaining to affirmative action,,,,,,,
obligations are incorporated herein by reference.,,,,,,,
