PO Date: 10/08/21,Requested Ship Date: 10/18/21,Due Date: 11/15/21,Page:,1,,,
Import Permit:,Basic Permit:,State License: WL-4303,,,,,
Attn: MARK WARREN,,,,,,,
Ship to: REPUB NATL DIST CO SIOUX FALLS Ship from: FITVINE LLC,,,,,,,
4101 ,N POTSDAM AVE,PO BOX 6474709,,,,,
"SIOUX FALLS , SD",57104,DETROIT,", MI",482674709,,,
605-336-3320,FAX# 605-336-3322,508-612-7142,,,,,
Instructions:,PO#:,49665,,,,,
SHIP VIA MODE TRANSPORTATION,===================,,,,,,
Our PO# must appear,,,,,,,
"on all invoices,",,,,,,,
shipping papers and,,,,,,,
correspondence.,,,,,,,
REQ# 00003280 BATCH# LAVCR0003280,===================,,,,,,
FOB Point: ELITE WINE SHIPPING,"10724 HWY 160 RIVER RD, HOOD CA 95639",,,,,,
__________________________________________________________________________________,,,,,,,
Cases|Size |Pack|Item No.|Description,|,Upc |Unit Price,,,,,
__________________________________________________________________________________,,,,,,,
2|187M |,24|,112636|FITVINE CALIF CAB,|85308600811|,48.00,,,
|,|,|,|24PK +14 PET,|,|,,
2|750M |,12|,146457|FITVINE CALIF RED BLND,|85308600832|,84.00,,,
|,|,|,|19,|,|,,
__________________________________________________________________________________,Total|,|,|,|,Weight|,|Total Price,
__________________________________________________________________________________,4|,|,|,|,100|,|,264.00
SPECIAL INSTRUCTIONS:,,,,,,,
Carrier must provide appropriate temperature protection at all times,,,,,,,
NOTES:,,,,,,,
Please confirm receipt and ship date of this PO and notify RNDC/NDC of,,,,,,,
"any changes regarding quantity, vintage, cost, UPC or alcohol percent.",,,,,,,
Supplier must have an active Non-Resident Seller's Permit and Label,,,,,,,
approvals for each product prior to shipping the order to the State of,,,,,,,
South Dakota.,,,,,,,
The provisions of 41 C.F.R. 60-250.5(a) pertaining to affirmative action,,,,,,,
obligations are incorporated herein by reference.,,,,,,,
