SGWS Nebraska,,,,,,,
,,,,,,,
UNIT,,,,,UNIT,ORDER,
SG ITEM #,PK / SZ,CS/PALLET,PRODUCT DESCRIPTION,COST,WEIGHT,QUANTITY,
,,,,,,,
503654,12/750ML,56 cs/pl,FITVINE CABERNET SAUVIGNON,82.5,38.4,56,CS
523741,12/750ML,40 cs/pl,FITVINE ROSE 20,100.5,39,10,CS
934628,12/750ML,40 cs/pl,FITVINE PROSECCO,100.5,40.8,8,CS
951414,12/750ML,56 cs/pl,FITVINE PINOT GRIGIO,82.5,38.4,56,CS
951415,12/750ML,56 cs/pl,FITVINE SAUVIGNON BLANC,82.5,38.4,42,CS
953931,12/750ML,56 cs/pl,FITVINE PINOT NOIR,100.5,38.4,28,CS
956890,12/750ML,56 cs/pl,FITVINE CHARDONNAY,82.5,38.4,28,CS
972353,24/187ML,105 cs/pl,FITVINE ROSE(SC)24PK,48,12.25,2,CS
972354,24/187ML,105 cs/pl,FITVINE CABERNET SAUVIGNON(SC)24PK,48,12.25,14,CS
972355,24/187ML,105 cs/pl,FITVINE PINOT GRIGIO(SC),48,38,4,CS
990103,12/750ML,56 cs/pl,FITVINE RED BLEND,82.5,38,5,CS
