geoName,jackrabbit
Alabama,4
Alaska,0
Arizona,10
Arkansas,5
California,3
Colorado,4
Connecticut,2
Delaware,1
District of Columbia,2
Florida,1
Georgia,3
Hawaii,2
Idaho,2
Illinois,3
Indiana,4
Iowa,4
Kansas,4
Kentucky,3
Louisiana,2
Maine,3
Maryland,1
Massachusetts,4
Michigan,2
Minnesota,5
Mississippi,3
Missouri,2
Montana,20
Nebraska,14
Nevada,2
New Hampshire,2
New Jersey,3
New Mexico,3
New York,3
North Carolina,3
North Dakota,6
Ohio,2
Oklahoma,2
Oregon,2
Pennsylvania,2
Rhode Island,4
South Carolina,8
South Dakota,100
Tennessee,3
Texas,4
Utah,3
Vermont,4
Virginia,2
Washington,3
West Virginia,3
Wisconsin,3
Wyoming,5
